equipo,arena,latitude,longitude,logo0,color,tm,local,visitor,latitude1,longitude1
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Carplus Fuenlabrada,40.28271366483084,-3.800509143982543
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Real Betis Baloncesto,37.396421763093244,-5.9648958606643605
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Monbus Obradoiro,42.87640091313994,-8.530649001605413
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Coviran Granada,37.15424932400022,-3.5936020041126646
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,UCAM Murcia,37.99401913800324,-1.1126044975056224
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Valencia Basket,39.45188248874301,-0.3660431016680829
BAXI Manresa,Pavelló Nou Congost,41.72553131948518,1.809883913714619,https://static.acb.com/img/31/9/2f/75632.png,#D5001E,BAX,BAXI Manresa,Gran Canaria,28.10308200222156,-15.456896903683322
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Río Breogán,42.99112162431948,-7.545301072767826
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Coviran Granada,37.15424932400022,-3.5936020041126646
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,BAXI Manresa,41.72553131948518,1.809883913714619
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Joventut Badalona,41.4426848150727,2.232038842544811
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Monbus Obradoiro,42.87640091313994,-8.530649001605413
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Real Betis Baloncesto,37.396421763093244,-5.9648958606643605
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Gran Canaria,28.10308200222156,-15.456896903683322
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Lenovo Tenerife,28.45934431808708,-16.296844528818482
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Barça,41.3802205350011,2.1201211695310715
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Cazoo Baskonia,42.86418354588555,-2.641617379517079
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Real Madrid,40.4240337619823,-3.671751201650836
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Unicaja,36.68279217722466,-4.460469972879309
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Bàsquet Girona,41.99106442107368,2.8105742658463644
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Casademont Zaragoza,41.699492152676626,-0.8766544769103839
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Valencia Basket,39.45188248874301,-0.3660431016680829
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Carplus Fuenlabrada,40.28271366483084,-3.800509143982543
UCAM Murcia,Palacio de Deportes de Murcia,37.99401913800324,-1.1126044975056224,https://static.acb.com/img/14/31/34/75635.png,#A51A14,UCM,UCAM Murcia,Surne Bilbao Basket,43.252351650418106,-2.9261184727627896
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Coviran Granada,37.15424932400022,-3.5936020041126646
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Barça,41.3802205350011,2.1201211695310715
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Real Betis Baloncesto,37.396421763093244,-5.9648958606643605
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,BAXI Manresa,41.72553131948518,1.809883913714619
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Joventut Badalona,41.4426848150727,2.232038842544811
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Unicaja,36.68279217722466,-4.460469972879309
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Monbus Obradoiro,42.87640091313994,-8.530649001605413
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Bàsquet Girona,41.99106442107368,2.8105742658463644
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,UCAM Murcia,37.99401913800324,-1.1126044975056224
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Lenovo Tenerife,28.45934431808708,-16.296844528818482
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Casademont Zaragoza,41.699492152676626,-0.8766544769103839
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Río Breogán,42.99112162431948,-7.545301072767826
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Real Madrid,40.4240337619823,-3.671751201650836
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Surne Bilbao Basket,43.252351650418106,-2.9261184727627896
Carplus Fuenlabrada,Pabellón Fernando Martín,40.28271366483084,-3.800509143982543,https://static.acb.com/img/www/clubes2023/CarplusFuenlabrada-Logo-56.png,#0085CA,FUE,Carplus Fuenlabrada,Cazoo Baskonia,42.86418354588555,-2.641617379517079
